season|winner                     |total_win|
------+---------------------------+---------+
  2008|Chennai Super Kings        |        9|
  2008|Deccan Chargers            |        2|
  2008|Delhi Daredevils           |        7|
  2008|Kings XI Punjab            |       10|
  2008|Kolkata Knight Riders      |        6|
  2008|Mumbai Indians             |        7|
  2008|Rajasthan Royals           |       13|
  2008|Royal Challengers Bangalore|        4|
  2009|Chennai Super Kings        |        8|
  2009|Deccan Chargers            |        9|
  2009|Delhi Daredevils           |       10|
  2009|Kings XI Punjab            |        7|
  2009|Kolkata Knight Riders      |        3|
  2009|Mumbai Indians             |        5|
  2009|Rajasthan Royals           |        6|
  2009|Royal Challengers Bangalore|        9|
  2010|Chennai Super Kings        |        9|
  2010|Deccan Chargers            |        8|
  2010|Delhi Daredevils           |        7|
  2010|Kings XI Punjab            |        4|
  2010|Kolkata Knight Riders      |        7|
  2010|Mumbai Indians             |       11|
  2010|Rajasthan Royals           |        6|
  2010|Royal Challengers Bangalore|        8|
  2011|                           |        1|
  2011|Chennai Super Kings        |       11|
  2011|Deccan Chargers            |        6|
  2011|Delhi Daredevils           |        4|
  2011|Kings XI Punjab            |        7|
  2011|Kochi Tuskers Kerala       |        6|
  2011|Kolkata Knight Riders      |        8|
  2011|Mumbai Indians             |       10|
  2011|Pune Warriors              |        4|
  2011|Rajasthan Royals           |        6|
  2011|Royal Challengers Bangalore|       10|
  2012|Chennai Super Kings        |       10|
  2012|Deccan Chargers            |        4|
  2012|Delhi Daredevils           |       11|
  2012|Kings XI Punjab            |        8|
  2012|Kolkata Knight Riders      |       12|
  2012|Mumbai Indians             |       10|
  2012|Pune Warriors              |        4|
  2012|Rajasthan Royals           |        7|
  2012|Royal Challengers Bangalore|        8|
  2013|Chennai Super Kings        |       12|
  2013|Delhi Daredevils           |        3|
  2013|Kings XI Punjab            |        8|
  2013|Kolkata Knight Riders      |        6|
  2013|Mumbai Indians             |       13|
  2013|Pune Warriors              |        4|
  2013|Rajasthan Royals           |       11|
  2013|Royal Challengers Bangalore|        9|
  2013|Sunrisers Hyderabad        |       10|
  2014|Chennai Super Kings        |       10|
  2014|Delhi Daredevils           |        2|
  2014|Kings XI Punjab            |       12|
  2014|Kolkata Knight Riders      |       11|
  2014|Mumbai Indians             |        7|
  2014|Rajasthan Royals           |        7|
  2014|Royal Challengers Bangalore|        5|
  2014|Sunrisers Hyderabad        |        6|
  2015|                           |        2|
  2015|Chennai Super Kings        |       10|
  2015|Delhi Daredevils           |        5|
  2015|Kings XI Punjab            |        3|
  2015|Kolkata Knight Riders      |        7|
  2015|Mumbai Indians             |       10|
  2015|Rajasthan Royals           |        7|
  2015|Royal Challengers Bangalore|        8|
  2015|Sunrisers Hyderabad        |        7|
  2016|Delhi Daredevils           |        7|
  2016|Gujarat Lions              |        9|
  2016|Kings XI Punjab            |        4|
  2016|Kolkata Knight Riders      |        8|
  2016|Mumbai Indians             |        7|
  2016|Rising Pune Supergiants    |        5|
  2016|Royal Challengers Bangalore|        9|
  2016|Sunrisers Hyderabad        |       11|
  2017|Delhi Daredevils           |        6|
  2017|Gujarat Lions              |        4|
  2017|Kings XI Punjab            |        7|
  2017|Kolkata Knight Riders      |        9|
  2017|Mumbai Indians             |       12|
  2017|Rising Pune Supergiant     |       10|
  2017|Royal Challengers Bangalore|        3|
  2017|Sunrisers Hyderabad        |        8|